Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
DELI 4 LESS FOOD STORES,7893 W 130TH ST,CLEVELAND,44130,"$126,244.00","$104,071.00","$230,315.00"
CLAGUE SHELL,23696 CENTER RIDGE RD,WESTLAKE,44145,"$138,786.00","$90,733.50","$229,519.50"
SHEETZ #422,21034 ROYALTON RD,STRONGSVILLE,44149,"$151,108.00","$78,219.00","$229,327.00"
CIRCLE-K #5689,29605 AURORA RD,SOLON,44139,"$88,790.00","$140,253.00","$229,043.00"
TONY K'S BAR & GRILLE,841 W BAGLEY RD,BEREA,44017,$0.00,"$228,759.00","$228,759.00"
RED CIRCLE BAR & LANES,6056 STATE RD,PARMA,44134,"$32,675.00","$195,983.50","$228,658.50"
GAS MART,21820 LAKESHORE BLVD,EUCLID,44123,"$71,790.00","$155,841.50","$227,631.50"
SNAPPY GAS MART,4189 RIDGE RD,CLEVELAND,44144,"$142,550.00","$84,799.50","$227,349.50"
IN + OUT FOOD + BEVERAGE,891 LAKEVIEW AVE,CLEVELAND,44108,"$56,840.00","$170,185.50","$227,025.50"
GET GO #3218,5637 TRANSPORTATION BLVD,GARFIELD HEIGHTS,44125,"$137,617.00","$89,278.00","$226,895.00"
TRUE NORTH #316,6170 SOM CENTER RD,SOLON,44139,"$95,050.00","$131,710.00","$226,760.00"
EDDIES DISCOUNT,2223 NOBLE RD,CLEVELAND HTS,44112,"$46,916.00","$178,448.50","$225,364.50"
INN CAHOOTS,7525 BROADVIEW RD,SEVEN HILLS,44131,"$59,652.00","$165,103.50","$224,755.50"
GAS USA,3934 W 117TH ST,CLEVELAND,44111,"$93,252.00","$131,467.00","$224,719.00"
GIANT EAGLE #209,900 NORTHFIELD RD,BEDFORD,44146,"$99,861.00","$124,740.00","$224,601.00"
CHUCKIE MARKET,3661 E 93RD ST,CLEVELAND,44105,"$53,905.00","$170,558.50","$224,463.50"
EDDY FOOD MART,1031 E 129TH ST,CLEVELAND,44108,"$37,625.00","$186,583.50","$224,208.50"
THIRST & TEN,15299 SHELDON RD,MIDDLEBURG HEIGHTS,44130,"$16,230.00","$207,826.50","$224,056.50"
TRUE NORTH #348,6630 RIDGE RD,PARMA,44129,"$142,600.00","$81,308.50","$223,908.50"
DISCOUNT DRUG MART #17,4170 FULTON RD,BROOKLYN,44144,"$130,150.00","$93,197.00","$223,347.00"
TONYS MARKET,3114 CLARK,CLEVELAND,44109,"$91,310.00","$131,840.50","$223,150.50"
CIRCLE K #5664,20220 LORAIN RD,FAIRVIEW PARK,44126,"$125,150.00","$97,626.50","$222,776.50"
ROCKCLIFF MARKET,5417 CHESTER AVE,CLEVELAND,44103,"$61,296.00","$160,424.00","$221,720.00"
DAPPER DAN'S,10929 PROSPECT RD,STRONGSVILLE,44149,"$13,127.00","$208,530.50","$221,657.50"
GAS USA,2610 NOBLE RD,CLEVELAND,44121,"$59,945.00","$161,702.00","$221,647.00"
CLARK CONVENIENT FOOD PLUS,3315 CLARK AVE,CLEVELAND,44109,"$78,833.00","$141,782.00","$220,615.00"
CONVENIENT FOOD MART #3-108,16811 MADISON AVE,LAKEWOOD,44107,"$120,260.00","$100,013.50","$220,273.50"
ROYAL GAS MART,2850 W 25TH ST,CLEVELAND,44113,"$141,250.00","$78,933.00","$220,183.00"
PARKWOOD DRIVE THRU,11003 SUPERIOR AVE,CLEVELAND,44106,"$35,982.00","$183,975.00","$219,957.00"
CONVENIENT FOOD MART,5741 MEMPHIS AVE,CLEVELAND,44144,"$110,792.00","$108,465.50","$219,257.50"
TOMMYS TAKE OUT,5928 RIDGE RD,PARMA,44129,"$103,510.00","$115,382.00","$218,892.00"
SUPERIOR BEVERAGE,6203 SUPERIOR AVE,CLEVELAND,44103,"$32,885.00","$186,006.50","$218,891.50"
DISCOUNT DRUG MART #10,27300 DETROIT RD,WESTLAKE,44145,"$135,383.00","$82,740.00","$218,123.00"
EZ GO MART,3500 BROOKPARK RD,PARMA,44134,"$156,991.00","$61,077.50","$218,068.50"
HANINI EXPRESS,12800 EUCLID AVE,EAST CLEVELAND,44112,"$74,215.00","$143,518.00","$217,733.00"
