Zip,Number_of_returns_Total_Individual,Amount_Total_Individual,Number_of_returns_Business,Amount_Business,,,,,,,,
43748,1170,47541000,200,1719000,,,,,,,,
43749,1060,42017000,160,1110000,,,,,,,,
43754,610,44859000,100,321000,,,,,,,,
43755,780,44538000,120,483000,,,,,,,,
43756,2160,87270000,320,2708000,,,,,,,,
43758,1340,50596000,200,2234000,,,,,,,,
43760,750,32522000,120,793000,,,,,,,,
43762,2000,108473000,320,3851000,,,,,,,,
43764,3360,127648000,410,3291000,,,,,,,,
43766,620,22278000,80,665000,,,,,,,,
43767,650,35515000,120,1190000,,,,,,,,
43771,820,28723000,90,446000,,,,,,,,
43772,890,37257000,100,1090000,,,,,,,,
43773,1240,71003000,260,4320000,,,,,,,,
43777,1890,68215000,180,1008000,,,,,,,,
43778,620,37183000,140,2082000,,,,,,,,
43779,440,27178000,70,476000,,,,,,,,
43780,1020,56593000,150,1814000,,,,,,,,
43782,330,11774000,30,79000,,,,,,,,
43783,2080,96496000,300,3080000,,,,,,,,
43787,1160,44484000,200,1465000,,,,,,,,
43788,380,25847000,50,388000,,,,,,,,
43793,2210,135256000,360,3282000,,,,,,,,
43802,480,17934000,80,1328000,,,,,,,,
43804,1570,55755000,490,9332000,,,,,,,,
43811,370,14791000,40,283000,,,,,,,,
43812,8570,355631000,1050,10065000,,,,,,,,
43821,1990,88370000,270,1677000,,,,,,,,
43822,2100,91473000,380,3442000,,,,,,,,
43824,1680,65524000,390,5529000,,,,,,,,
43830,2910,159427000,390,4153000,,,,,,,,
43832,3190,122481000,430,4069000,,,,,,,,
43837,770,34595000,90,789000,,,,,,,,
43840,580,27079000,100,737000,,,,,,,,
43843,500,19563000,170,2139000,,,,,,,,
43844,1730,74678000,270,3159000,,,,,,,,
43845,2120,88967000,210,1436000,,,,,,,,
43901,980,46626000,100,384000,,,,,,,,
43903,790,34679000,100,820000,,,,,,,,
43906,3720,162075000,350,3359000,,,,,,,,
43907,2440,122561000,300,4355000,,,,,,,,
43908,590,31023000,70,478000,,,,,,,,
43910,1680,83818000,220,1623000,,,,,,,,
43912,2920,116115000,290,2198000,,,,,,,,
43913,630,24685000,60,195000,,,,,,,,
43915,710,57415000,90,375000,,,,,,,,
43917,1300,59059000,130,651000,,,,,,,,
43920,9990,419992000,1040,10842000,,,,,,,,
43930,410,17989000,40,138000,,,,,,,,
43932,400,17944000,40,119000,,,,,,,,
43933,890,77264000,70,379000,,,,,,,,
43935,3930,153210000,330,3344000,,,,,,,,
43938,2470,96441000,230,2230000,,,,,,,,
43942,1100,72736000,100,539000,,,,,,,,
43943,1720,80822000,160,1644000,,,,,,,,
43944,1230,59945000,160,1626000,,,,,,,,
43945,1300,52891000,150,1530000,,,,,,,,
43946,840,56121000,150,568000,,,,,,,,
43947,2500,132382000,240,1845000,,,,,,,,
43950,6910,461493000,920,20921000,,,,,,,,
43952,7340,288658000,850,9094000,,,,,,,,
43953,5640,294780000,640,7323000,,,,,,,,
43963,660,24888000,50,403000,,,,,,,,
43964,4450,193272000,410,3250000,,,,,,,,
43968,3190,123436000,270,1212000,,,,,,,,
43971,540,21588000,30,79000,,,,,,,,
43973,750,41832000,120,1378000,,,,,,,,
43976,690,33545000,80,400000,,,,,,,,
43977,970,50434000,100,894000,,,,,,,,
43983,230,14906000,30,181000,,,,,,,,
43986,790,37251000,120,974000,,,,,,,,
43988,1060,58180000,170,1632000,,,,,,,,
44001,11110,617442000,1250,12900000,,,,,,,,
44003,1870,71605000,290,2625000,,,,,,,,
44004,13940,545345000,1540,11451000,,,,,,,,
44010,830,47833000,130,881000,,,,,,,,
44011,10560,993659000,1460,25923000,,,,,,,,
44012,12100,1161801000,1680,31219000,,,,,,,,
44017,9190,472636000,1120,10355000,,,,,,,,
44021,2940,150881000,730,12643000,,,,,,,,
44022,8830,1748883000,1960,76421000,,,,,,,,
44023,9290,1164151000,1740,42079000,,,,,,,,
44024,11940,840258000,1930,28440000,,,,,,,,
44026,6160,437558000,1070,16443000,,,,,,,,
44028,4730,301961000,640,7408000,,,,,,,,
44030,6680,254170000,770,5086000,,,,,,,,
44032,700,26827000,110,1046000,,,,,,,,
44035,30140,1219186000,2900,22790000,,,,,,,,
44039,16480,949427000,1890,18320000,,,,,,,,
44040,1700,420328000,380,15826000,,,,,,,,
44041,6850,286253000,820,6325000,,,,,,,,
44044,6100,339706000,800,8231000,,,,,,,,
44046,970,48506000,240,4753000,,,,,,,,
44047,4380,198225000,640,5482000,,,,,,,,
44048,1180,48370000,140,670000,,,,,,,,
44050,3130,181731000,380,2764000,,,,,,,,
44052,12740,417470000,1270,9273000,,,,,,,,
44053,9030,432989000,930,7180000,,,,,,,,
44054,6330,313724000,660,4978000,,,,,,,,
44055,8260,233291000,730,5391000,,,,,,,,
44056,6390,422248000,860,10318000,,,,,,,,
44057,9310,451405000,1050,9836000,,,,,,,,
44060,32870,1974956000,3750,44473000,,,,,,,,
44062,5640,228222000,2290,52346000,,,,,,,,
44064,850,45444000,160,1161000,,,,,,,,
44065,2230,146681000,400,4865000,,,,,,,,
44067,11220,697172000,1530,19112000,,,,,,,,
44070,17490,906978000,2060,24311000,,,,,,,,
44072,2490,314705000,530,12312000,,,,,,,,
44074,4590,267088000,760,6654000,,,,,,,,
44076,2170,84182000,510,7811000,,,,,,,,
44077,27960,1576363000,3210,38412000,,,,,,,,
44081,3460,190363000,420,3917000,,,,,,,,
44082,630,22737000,120,1275000,,,,,,,,
44084,1670,84243000,260,1796000,,,,,,,,
44085,1400,62623000,240,1892000,,,,,,,,
44086,1180,65385000,150,1429000,,,,,,,,
44087,10880,735527000,1490,16745000,,,,,,,,
44089,8160,444377000,1030,11337000,,,,,,,,
44090,5570,272935000,730,6073000,,,,,,,,
44092,9090,424047000,1000,8795000,,,,,,,,
44093,630,23355000,100,1045000,,,,,,,,
44094,19450,1335169000,2470,31339000,,,,,,,,
44095,17850,794079000,1780,14376000,,,,,,,,
44099,840,38246000,270,5485000,,,,,,,,
44102,17210,533650000,2360,23754000,,,,,,,,
44103,6200,153913000,940,6799000,,,,,,,,
44104,7700,153786000,1520,12331000,,,,,,,,
44105,15920,408957000,2140,14771000,,,,,,,,
44106,8920,578940000,1490,19242000,,,,,,,,
44107,27750,1383539000,3690,47603000,,,,,,,,
44108,10000,366337000,1550,13565000,,,,,,,,
44109,17710,539914000,2110,17807000,,,,,,,,
44110,7940,204169000,1070,7146000,,,,,,,,
44111,19580,717883000,2220,19137000,,,,,,,,
44112,8570,233832000,1220,8300000,,,,,,,,
44113,8140,429954000,1150,15124000,,,,,,,,
44114,2960,493685000,370,59224000,,,,,,,,
44115,2670,121854000,520,5772000,,,,,,,,
44116,11350,1103429000,1660,33866000,,,,,,,,
44117,4640,168802000,540,2443000,,,,,,,,
44118,18170,1265546000,3330,44473000,,,,,,,,
44119,6260,246095000,740,4840000,,,,,,,,
44120,16720,944838000,2740,29781000,,,,,,,,
44121,16550,745684000,2430,20712000,,,,,,,,
44122,17080,1965446000,3290,85271000,,,,,,,,
44123,8570,310848000,990,6449000,,,,,,,,
44124,21020,1777967000,3180,68437000,,,,,,,,
44125,14090,534092000,1450,10319000,,,,,,,,
44126,9340,543787000,1100,14912000,,,,,,,,
44127,1890,41123000,310,3047000,,,,,,,,
44128,14000,430063000,1520,6359000,,,,,,,,
44129,14960,626895000,1550,14358000,,,,,,,,
44130,27890,1272284000,2930,29571000,,,,,,,,
44131,11620,761193000,1540,20801000,,,,,,,,
44132,7280,254821000,880,5532000,,,,,,,,
44133,17210,1080880000,2410,39094000,,,,,,,,
44134,20290,871634000,2380,20797000,,,,,,,,
44135,12750,446486000,1400,11287000,,,,,,,,
44136,13570,933346000,1770,27240000,,,,,,,,
44137,11460,386468000,1340,6412000,,,,,,,,
44138,11720,716125000,1390,15930000,,,,,,,,
44139,12400,1363803000,2160,51299000,,,,,,,,
44140,8090,903251000,1430,28521000,,,,,,,,
44141,7450,821711000,1230,26920000,,,,,,,,
44142,10290,420545000,860,7936000,,,,,,,,
44143,13210,956323000,1950,26888000,,,,,,,,
44144,11320,434020000,1040,8105000,,,,,,,,
44145,17700,1795749000,2550,54536000,,,,,,,,
44146,15810,627861000,1780,10038000,,,,,,,,
44147,10340,809011000,1470,19983000,,,,,,,,
44149,10520,832271000,1430,24832000,,,,,,,,
44201,3180,161899000,430,4684000,,,,,,,,
44202,10640,993748000,1620,27878000,,,,,,,,
44203,19210,805398000,2330,19414000,,,,,,,,
44212,23030,1252736000,2610,27992000,,,,,,,,
44214,1030,53794000,160,1036000,,,,,,,,
44215,1080,49027000,160,1275000,,,,,,,,
44216,4760,287960000,750,7797000,,,,,,,,
44217,2020,95800000,330,2778000,,,,,,,,
44221,15510,640012000,1720,16322000,,,,,,,,
44223,9450,574477000,1320,17500000,,,,,,,,
44224,20160,1266246000,2700,39683000,,,,,,,,
44230,3980,210403000,550,4176000,,,,,,,,
44231,3990,184604000,710,10372000,,,,,,,,
44233,4130,394225000,710,16176000,,,,,,,,
44234,1780,96331000,280,2092000,,,,,,,,
44235,640,29473000,120,997000,,,,,,,,
44236,12430,1688179000,2160,51958000,,,,,,,,
44240,16160,790994000,2160,26404000,,,,,,,,
44241,8990,484486000,970,8601000,,,,,,,,
44253,1860,102645000,270,2469000,,,,,,,,
44254,2530,104156000,290,1638000,,,,,,,,
44255,4060,198352000,540,4862000,,,,,,,,
44256,31390,2258131000,4360,59932000,,,,,,,,
44260,6870,355961000,870,7624000,,,,,,,,
44262,2720,161368000,400,4291000,,,,,,,,
44264,1400,128922000,230,4033000,,,,,,,,
44266,16060,706512000,1790,18820000,,,,,,,,
44270,4040,182422000,470,3842000,,,,,,,,
44272,2680,137341000,390,3905000,,,,,,,,
44273,3420,182017000,530,6846000,,,,,,,,
44275,1620,86310000,210,2089000,,,,,,,,
44276,990,49578000,180,1568000,,,,,,,,
44278,9200,522079000,1240,15798000,,,,,,,,
44280,2790,178431000,430,5998000,,,,,,,,
44281,14930,995879000,2030,26857000,,,,,,,,
44286,3250,449914000,540,15614000,,,,,,,,
44287,3360,147764000,540,5964000,,,,,,,,
44288,1740,65359000,210,1311000,,,,,,,,
44301,6760,223268000,800,6296000,,,,,,,,
44302,2310,72637000,370,2376000,,,,,,,,
44303,3850,272197000,630,10668000,,,,,,,,
44304,920,17296000,80,526000,,,,,,,,
44305,10090,326234000,1150,8885000,,,,,,,,
44306,9270,237293000,1250,10098000,,,,,,,,
44307,3020,70340000,440,3047000,,,,,,,,
44308,270,14979000,20,178000,,,,,,,,
44310,10570,306830000,1130,7904000,,,,,,,,
44311,2380,47693000,330,2931000,,,,,,,,
44312,15950,691465000,1810,16949000,,,,,,,,
44313,13510,800274000,1990,26037000,,,,,,,,
44314,8300,253112000,790,6499000,,,,,,,,
44319,11710,604120000,1600,19246000,,,,,,,,
44320,9190,303112000,1240,7555000,,,,,,,,
44321,7490,658645000,1230,19723000,,,,,,,,
44333,9640,1176638000,1780,50304000,,,,,,,,
44401,1420,77057000,210,1879000,,,,,,,,
44402,1580,71461000,220,1134000,,,,,,,,
44403,2060,100108000,260,2865000,,,,,,,,
44404,700,35162000,80,189000,,,,,,,,
44405,3480,118959000,400,2572000,,,,,,,,
44406,11660,1004082000,2020,52872000,,,,,,,,
44408,5120,273037000,830,9494000,,,,,,,,
44410,8980,482448000,1130,12369000,,,,,,,,
44411,1040,44510000,130,911000,,,,,,,,
44412,1380,65999000,180,1034000,,,,,,,,
44413,3530,142964000,410,4424000,,,,,,,,
44417,780,40038000,100,547000,,,,,,,,
44418,690,33875000,90,265000,,,,,,,,
44420,7580,344320000,830,9094000,,,,,,,,
44423,1080,50643000,160,1523000,,,,,,,,
44425,7500,347939000,860,10015000,,,,,,,,
44427,710,34874000,120,1255000,,,,,,,,
44428,1560,72911000,200,1721000,,,,,,,,
44429,1240,69128000,130,923000,,,,,,,,
44430,1780,60237000,190,912000,,,,,,,,
44431,2390,112178000,350,3722000,,,,,,,,
44432,4780,206749000,670,6375000,,,,,,,,
44436,1910,92664000,260,2960000,,,,,,,,
44437,2190,97660000,250,1400000,,,,,,,,
44438,2220,77517000,210,1130000,,,,,,,,
44440,2290,109477000,260,1952000,,,,,,,,
44441,770,40562000,110,799000,,,,,,,,
44442,2010,98846000,290,2744000,,,,,,,,
44443,900,40728000,140,1091000,,,,,,,,
44444,5080,211582000,530,3740000,,,,,,,,
44445,1530,70967000,220,2040000,,,,,,,,
44446,9980,377642000,1000,8331000,,,,,,,,
44449,580,29131000,90,727000,,,,,,,,
44450,870,37449000,170,1941000,,,,,,,,
44451,1620,82326000,220,1325000,,,,,,,,
44452,1430,81383000,250,2664000,,,,,,,,
44454,490,20512000,70,510000,,,,,,,,
44455,770,31198000,100,658000,,,,,,,,
44460,12210,596034000,1620,22387000,,,,,,,,
44470,1870,82745000,250,1899000,,,,,,,,
44471,5140,186378000,500,4879000,,,,,,,,
44473,1980,107088000,250,1733000,,,,,,,,
44481,5170,242045000,620,5141000,,,,,,,,
44483,11640,436699000,1210,11218000,,,,,,,,
44484,11540,652152000,1410,23479000,,,,,,,,
44485,6610,187714000,670,4500000,,,,,,,,
44490,370,12349000,40,117000,,,,,,,,
44491,1510,64503000,460,7901000,,,,,,,,
44502,3650,84118000,520,3640000,,,,,,,,
44503,170,6397000,0,0,,,,,,,,
44504,1870,63702000,230,1213000,,,,,,,,
44505,6910,253125000,990,10725000,,,,,,,,
44506,920,19700000,110,946000,,,,,,,,
44507,1820,33872000,320,2986000,,,,,,,,
44509,4820,133114000,590,4239000,,,,,,,,
44510,860,16551000,120,931000,,,,,,,,
44511,9500,375064000,1210,8948000,,,,,,,,
44512,17560,862108000,2350,31645000,,,,,,,,
44514,12030,804555000,1720,33845000,,,,,,,,
44515,14060,592583000,1440,11850000,,,,,,,,
44601,15110,645500000,1840,16416000,,,,,,,,
44606,2950,130550000,860,17354000,,,,,,,,
44608,1220,51035000,190,1960000,,,,,,,,
44609,1750,83447000,250,2617000,,,,,,,,
44611,850,36379000,180,1943000,,,,,,,,
44612,2650,147695000,340,2781000,,,,,,,,
44613,960,39146000,90,252000,,,,,,,,
44614,6320,356882000,760,9549000,,,,,,,,
44615,4970,245911000,800,9216000,,,,,,,,
44618,2970,153570000,590,9286000,,,,,,,,
44620,750,40346000,110,1157000,,,,,,,,
44621,2040,84086000,230,1764000,,,,,,,,
44622,9060,515048000,1130,16871000,,,,,,,,
44624,2190,103856000,640,17853000,,,,,,,,
44625,610,29327000,110,868000,,,,,,,,
44626,1480,69514000,180,1080000,,,,,,,,
44627,2390,97432000,870,20061000,,,,,,,,
44628,500,23009000,110,1062000,,,,,,,,
44629,1060,47480000,130,866000,,,,,,,,
44632,4970,299622000,880,12024000,,,,,,,,
44633,990,41444000,310,4492000,,,,,,,,
44634,1010,48792000,170,1370000,,,,,,,,
44637,1220,45043000,210,1762000,,,,,,,,
44638,700,32350000,120,1305000,,,,,,,,
44641,10120,506095000,1300,13259000,,,,,,,,
44643,1500,72196000,180,2461000,,,,,,,,
44644,2250,115929000,300,2989000,,,,,,,,
44645,1250,66837000,180,1484000,,,,,,,,
44646,23080,1234834000,2600,33248000,,,,,,,,
44647,8780,372704000,940,7555000,,,,,,,,
44651,360,15181000,90,1450000,,,,,,,,
44654,8450,425019000,2240,56673000,,,,,,,,
44656,1270,57340000,140,1685000,,,,,,,,
44657,4730,209719000,710,9050000,,,,,,,,
44662,4620,203168000,650,5902000,,,,,,,,
44663,12180,567405000,1400,18347000,,,,,,,,
44666,1470,89808000,240,3015000,,,,,,,,
44667,6380,315231000,910,10732000,,,,,,,,
44669,710,40606000,120,1959000,,,,,,,,
44672,2150,76633000,200,1293000,,,,,,,,
44675,870,41518000,150,1104000,,,,,,,,
44676,2240,96609000,400,4003000,,,,,,,,
44677,1320,63976000,190,1894000,,,,,,,,
