 Business_Name ,Address,City,Zip,Instant_Sales,Online_Sales,Total,total income,avg income
RIVALS SPORTS GRILLE ,6710 SMITH RD,MIDDLEBURG HEIGHTS,44130,30268,267239,297507,,
PICKWICK FOOD MART,450 FRONT ST,BEREA,44017,195184,100875,296059,,
GABRIELS SHELL,2249 W 117TH ST,CLEVELAND,44111,192100,103927,296027,,
AIGO LLC,4360 LEE RD,CLEVELAND,44128,70160,224449.5,294609.5,,
CONVENIENT FOOD MART,811 E 222ND ST,EUCLID,44123,132993,159606,292599,,
HI POINT MEMPHIS,4915 MEMPHIS AVE,CLEVELAND,44144,180320,111936,292256,,
SAPELL'S FOOD BASKET,1314 W 117TH ST,LAKEWOOD,44107,118750,172578,291328,,
CONVENIENT FOOD MART 3054,3722 DENISON AVE,CLEVELAND,44109,138928,151040,289968,,
GAS AND FOODS,8952 PEARL RD,STRONGSVILLE,44136,164300,125238,289538,,
NEW SPEEDY MART,607 NORTHFIELD RD,BEDFORD,44146,113447,175169,288616,,
THE TOBACCO COMPANY,574 E 185TH ST,CLEVELAND,44119,63254,225311.5,288565.5,,
WARREN VILLAGE BEVERAGE,3330 WARREN RD,CLEVELAND,44111,172850,115601,288451,,
DAVES SUPERMARKET #6,2700 CARROLL AVE,CLEVELAND,44113,116650,170791.5,287441.5,,
LAKESHORE VALERO,15550 LAKESHORE BLVD,CLEVELAND,44110,62741,224025.5,286766.5,,
GAS USA #3,3101 SCRANTON RD,CLEVELAND,44109,131621,154092.5,285713.5,,
DAIRY MART,14322 MADISON AVE,LAKEWOOD,44107,192450,93158.5,285608.5,,
SPEEDY MARKET,4025 E 131ST ST,CLEVELAND,44105,74825,210486.5,285311.5,,
DELI EXPRESS FOOD STORES,8163 BRECKSVILLE RD,BRECKSVILLE,44141,162026,122725.5,284751.5,,
DAIRY MART #5451,7460 MEMPHIS AVE,BROOKLYN,44144,170650,112771.5,283421.5,,
GASWAY ,4702 MEMPHIS AVE,CLEVELAND,44144,181616,101772,283388,,
QUICK AND EASY,12730 ST CLAIR AVE,CLEVELAND,44108,62512,220248,282760,,
DAVE'S SUPERMARKET #8,7422 HARVARD AVE PO BOX 93961,CLEVELAND,44105,107060,175643.5,282703.5,,
HIGH POINT MARATHON,7411 STATE RD,PARMA,44134,176142,106402,282544,,
LUCKY'S EXPRESS,7213 W PLEASANT VALLEY RD,PARMA,44129,176038,106439.5,282477.5,,
ONE STOP SUNOCO #4,940 E 222ND ST,EUCLID,44123,108823,172588.5,281411.5,,
EUCLID SHELL,13441 EUCLID AVE,EAST CLEVELAND,44112,60150,220532.5,280682.5,,
CLEATS PARMA HTS,6405 PEARL RD,PARMA HEIGHTS,44130,14235,266206,280441,,
MARC'S #67,8003 BROADVIEW RD,BROADVIEW HEIGHTS,44147,169570,109138.5,278708.5,,
TREMONT CONVENIENCE FOOD MART,2630 W 14TH ST,CLEVELAND,44113,120350,157839.5,278189.5,,
BOND COURT NEWS,1300 E 9TH ST,CLEVELAND,44114,153323,124768,278091,,
MARC'S #33,7511 W RIDGEWOOD DR,PARMA,44129,180300,97774,278074,,
SIMONS SUPERMARKET,7973 EUCLID AVE,CLEVELAND,44103,50530,227053.5,277583.5,,
KINSMAN MARKET,3344 E 116TH ST,CLEVELAND,44120,62771,214489,277260,,
LAKE SHORE FOOD MART,15208 LAKE SHORE BLVD,CLEVELAND,44110,81422,194755.5,276177.5,,
THISTLEDOWN,21501 EMERY RD,NORTH RANDALL,44128,83159,190849.5,274008.5,,
ONE STOP LIQUOR AGENCY,4071 LEE RD UNIT 290,CLEVELAND,44128,39080,234782.5,273862.5,,
SUNOCO ,20710 S LAKELAND BLVD,EUCLID,44119,158484,114856,273340,,
SNACK SHACK III,4541 E 131ST ST,CLEVELAND,44105,26252,246844,273096,,
ML KING SAV0MOR ,3750 MARTIN LUTHER KING JR DR,CLEVELAND,44105,46100,226872,272972,,
MARC'S #17,12650 ROCKSIDE RD,GARFIELD HEIGHTS,44125,141300,131375,272675,,
DAIRY MART,3387 W 117TH ST,CLEVELAND,44111,163450,109148.5,272598.5,,
RAMI WARRENSVILLE HTS,4351 NORTHFIELD RD,WARRENSVILLE HEIGHTS,44128,77860,194325,272185,,
MERRY ARTS PUB & GRILLE,15607 1/2 DETROIT AVE,LAKEWOOD,44107,0,271362,271362,,
CONVENIENT FOOD MART ,9105 DENISON AVE,CLEVELAND,44102,164014,107152,271166,,
KARLS SUNOCO,8404 CARNEGIE AVE,CLEVELAND,44103,91284,179772,271056,,
GIANT EAGLE #1298,13820 LORAIN AVE,CLEVELAND,44111,170750,100001,270751,,
GAS USA,3266 W 117 ST,CLEVELAND,44111,145728,124407.5,270135.5,,
BELLAIRE GAS WAY,10606 BELLAIRE RD,CLEVELAND,44111,151580,117776,269356,,
TURNEY TOWN SUNOCO,4935 TURNEY RD,GARFIELD HEIGHTS,44125,134710,134296,269006,,
MINI MART,3778 W 117TH ST,CLEVELAND,44111,139400,129311,268711,,
DISCOUNT DRUG MART #08,24485 LORAIN RD,NORTH OLMSTED,44070,181695,86319.5,268014.5,,
JOHNSON DELI,15315 BARTLETT AVE,CLEVELAND,44120,53364,213767,267131,,
CIRCLE K #5622,5878 SMITH RD,BROOK PARK,44142,163772,102456,266228,,
K & M DELI & BEVERAGE,7900 KINSMAN RD,CLEVELAND,44104,57062,208186.5,265248.5,,
SHAW SAV MOR,12901 SHAW AVE,CLEVELAND,44108,52614,212405,265019,,
MARC'S #31,5725 SMITH RD,BROOK PARK,44142,160840,103933,264773,,
CIRCLE K #5241,13933 LAKEWOOD HTS BLVD,LAKEWOOD,44107,189250,74393,263643,,
AUTOMOTIVE SERVICE PROFESSIONALS,5326 TURNEY RD,GARFIELD HEIGHTS,44125,135121,128317.5,263438.5,,
LOWRY'S CAR WASH & DR THRU,14831 SNOW RD PO BOX 42141,BROOK PARK,44142,84738,178456.5,263194.5,,
CIRCLE K #5254,8911 DAY DR,PARMA,44129,153350,109459.5,262809.5,,
GENE'S CORNER BEVERAGE #7,8716 CEDAR AVE,CLEVELAND,44106,45750,216953.5,262703.5,,
SUNOCO MART,871 N ROCKY RIVER DR,BEREA,44017,149797,112649,262446,,
DAVES SUPERMARKET #15,12438 CEDAR BLVD,CLEVELAND HTS,44106,95650,166164.5,261814.5,,
FRIENDLY FOOD MART,4050 W 140TH ST,CLEVELAND,44135,155476,106073,261549,,
WALTON HILLS DELI & MINI MART,7601 WALTON RD,CLEVELAND,44146,120960,140451,261411,,
COLLINWOOD MARATHON,657 E 152ND ST,CLEVELAND,44110,85278,175351.5,260629.5,,
BIG CREEK CONVENIENCE,10211 BROOKPARK RD,PARMA,44130,154827,104618,259445,,
ARLINGTON MARKET,12425 ARLINGTON AVENUE,CLEVELAND,44108,39183,220223.5,259406.5,,
DELI 4 LESS,661 NORTHFIELD RD ,BEDFORD,44146,87566,171839,259405,,
MARC'S #66,371 W BAGLEY RD,BEREA,44017,158820,99698.5,258518.5,,
BIG & LITTLE STORE,187 CENTER RD,BEDFORD,44146,119427,138779,258206,,
ROSS DELI,15524 DETROIT AVE,LAKEWOOD,44107,150525,106698.5,257223.5,,
OLD BROOKLYN FOOD MARKET,4785 PEARL RD,CLEVELAND,44109,132776,124116,256892,,
SPEEDWAY #4044,4549 MAYFIELD RD,SOUTH EUCLID,44121,131526,124673,256199,,
SPEEDWAY #9344,14458 CEDAR RD,SOUTH EUCLID,44121,99398,155758.5,255156.5,,
GP EXPRESS,11750 SNOW RD,PARMA,44130,154185,100416,254601,,
WEST SIDE BEVERAGE & DELI,4400 STATE RD,CLEVELAND,44109,97600,156661.5,254261.5,,
MADISON CONVENIENCE,15019 MADISON AVE,LAKEWOOD,44107,170415,83837,254252,,
TOWN FOODS SUPERMARKET,1082 E 105TH ST,CLEVELAND,44108,48870,205108.5,253978.5,,
SMOKE MART,14037 PURITAS,CLEVELAND,44135,121084,132790,253874,,
123 QUICK STOP,4257 E 71ST ST,CLEVELAND,44105,143420,110364.5,253784.5,,
ERIEVIEW TOWERS NEWSSTAND,1301 E 9TH ST,CLEVELAND,44114,133450,120220.5,253670.5,,
ACME FRESH MARKET #20,1225 PLEASANT VALLEY RD,PARMA,44134,158350,94848,253198,,
SAHLANI BROTHERS INC,3161 MAYFIELD RD,CLEVELAND HEIGHTS,44118,55767,197230.5,252997.5,,
COLLINWOOD CONVENIENT EXPRESS,15518 ST CLAIR AVE,CLEVELAND,44110,81980,170726.5,252706.5,,
EAST 55TH ST SHELL,2625 E 55TH ST,CLEVELAND,44104,69899,181213.5,251112.5,,
CIRCLE K #5251,25605 MILES RD,WARRENSVILLE HEIGHTS,44128,87800,163099,250899,,
MARC'S #02,6695 EASTGATE DR,MAYFIELD HEIGHTS,44124,148630,102129.5,250759.5,,
GET GO #3833,400 NORTHFIELD RD,BEDFORD,44146,98667,151998.5,250665.5,,
EASTSIDE GROCERY,3218 E 135TH ST,CLEVELAND,44120,43830,206762.5,250592.5,,
WEEKSEND TAVERN  ,3309 W 105TH ST,CLEVELAND,44111,0,250230.5,250230.5,,
GET GO #3201,25500 MILES RD,WARRENSVILLE HEIGHTS,44128,119433,130302.5,249735.5,,
CONVENIENCE DELI,863 E 93RD ST,CLEVELAND,44108,57978,191322,249300,,
GET GO #3440,4254 MAYFIELD RD,SOUTH EUCLID,44121,118173,129263.5,247436.5,,
SPEEDWAY #3694,21043 ROYALTON RD,STRONGSVILLE,44149,167650,79106,246756,,
GIANT EAGLE #6388,7400 BROADVIEW RD,PARMA,44134,167010,79623,246633,,
CONVENIENT FOOD MART #3 046,4828 STATE RD,CLEVELAND,44109,140950,105308.5,246258.5,,
WARRENSVILLE BEVERAGE & DELI,20111013 HARVARD AVE,WARRENSVILLE HTS,44122,54175,192062.5,246237.5,,
NEDS BEVERAGE & DELI,5810 W 220 ST,FAIRVIEW PARK,44126,113971,131945.5,245916.5,,
PIT STOP DELI,19609 PURITAS AVE,CLEVELAND,44135,140457,104803,245260,,
MASTRO'S THE 3 SPOT,13855 RIDGE RD,NORTH ROYALTON,44133,40086,203936.5,244022.5,,
SUN MART EXPRESS,7908 W 130TH ST,STRONGSVILLE,44136,145887,97907,243794,,
PARMA HTS SMOKE SHOP & BEVERAGE,6647 PEARL RD,PARMA HEIGHTS,44130,139358,104325.5,243683.5,,
C TOWN'S MORE 4 LESS,1001 W ROYALTON RD,BROADVIEW HEIGHTS,44147,164837,78741,243578,,
AMERICAN FOOD MARKET,8002 DETROIT AVE,CLEVELAND,44102,115268,128293,243561,,
70ELEVEN FOOD STORE #55,16303 LIBBY RD,CLEVELAND,44137,74516,168993.5,243509.5,,
KING MARATHON,11500 ST CLAIR AVE,CLEVELAND,44108,38396,203744.5,242140.5,,
70ELEVEN #19721,16303 LIBBY RD,CLEVELAND,44137,54746,187075,241821,,
STRONGSVILLE DELI STOP,20942 DRAKE RD,STRONGSVILLE,44149,134668,106986,241654,,
BIDDULPH BEVERAGE,6980 BIDDULPH RD,BROOKLYN,44144,104800,136465,241265,,
PARMATOWN MALL,7895 W RIDGEWOOD DR,PARMA,44129,187909,52817,240726,,
BEREA BEVERAGE,7 W GRAND ST,BEREA,44017,135056,105650,240706,,
CIRCLE CONVENIENCE,11313 EUCLID AVE,CLEVELAND,44106,81168,159151.5,240319.5,,
